age,seniority,men,urban,private,marital,y
58,32,1,1,1,C,0
37,30,1,0,1,C,1
56,28,1,0,1,C,1
68,27,1,0,1,C,0
58,26,1,0,1,C,0
57,26,1,0,0,O,0
46,25,0,0,1,C,1
65,25,1,0,1,C,1
64,24,1,0,1,C,0
53,22,1,0,0,C,0
45,21,1,0,1,C,1
43,21,1,1,1,C,1
59,20,1,0,1,C,0
56,20,1,0,1,C,1
48,20,1,0,1,C,1
71,20,1,1,1,C,1
59,19,0,0,1,C,1
63,19,0,1,1,C,0
61,23,1,0,1,C,1
59,21,1,1,1,C,1
55,19,1,0,1,C,0
45,19,1,0,1,C,1
72,19,1,0,1,C,0
53,19,1,0,1,C,1
50,21,1,1,1,C,0
57,19,1,0,1,C,0
65,19,1,0,1,C,0
66,19,1,1,1,C,0
68,26,0,1,1,C,1
53,20,1,0,1,C,1
62,30,1,1,1,C,0
71,18,1,1,1,O,1
52,24,1,0,1,C,1
69,18,1,0,1,C,0
64,18,1,1,1,C,1
54,21,1,0,1,C,1
50,19,1,0,1,C,1
66,18,1,0,1,C,0
53,19,0,1,1,O,1
43,26,1,0,1,C,1
76,18,1,0,1,C,0
56,18,1,1,1,C,1
47,25,1,1,1,S,1
47,17,1,1,1,C,1
56,26,1,1,1,C,1
50,23,1,0,1,C,1
44,19,1,1,1,C,1
50,20,1,1,1,C,0
62,15,1,0,1,C,0
65,18,1,0,1,C,0
46,17,1,0,1,C,0
48,17,1,0,1,C,1
60,17,1,0,1,C,0
46,17,0,0,1,S,0
48,17,1,1,1,C,0
54,26,1,0,1,C,1
64,17,1,1,1,C,0
51,21,1,1,1,C,1
69,16,1,0,1,C,0
47,21,0,0,1,S,1
44,18,1,1,1,C,1
61,16,0,0,1,C,1
52,16,0,1,1,S,0
56,21,1,0,1,C,1
61,16,1,0,1,C,0
72,16,1,1,1,C,0
46,16,1,0,1,S,0
48,18,1,0,1,C,1
48,16,1,1,1,C,1
44,16,1,1,1,C,1
48,16,1,0,1,C,0
64,19,1,0,1,C,0
36,16,0,1,1,O,1
47,16,1,1,1,C,1
57,16,1,0,1,C,0
58,18,1,1,1,C,1
53,15,1,1,1,C,1
49,21,1,0,1,C,1
74,29,1,0,1,C,1
46,25,1,0,1,C,1
55,20,1,0,1,C,0
57,28,1,0,1,C,1
55,15,1,0,1,S,0
76,19,1,0,1,C,0
54,21,1,0,1,S,1
51,15,1,0,1,C,0
73,15,1,1,1,C,0
57,21,1,0,1,C,1
50,15,1,0,1,C,0
58,21,1,0,1,C,1
66,15,1,1,1,C,0
43,15,0,1,1,S,0
39,15,0,1,1,O,1
77,15,1,0,1,C,1
47,15,1,1,1,C,0
66,20,1,0,1,S,0
47,14,1,0,1,O,0
46,14,1,0,1,C,0
53,14,0,1,1,C,0
57,14,1,1,1,C,1
54,14,1,0,1,C,0
41,14,1,0,1,C,0
48,18,1,1,1,C,1
65,14,1,1,1,C,1
74,14,1,0,1,C,0
42,14,1,0,1,S,0
59,17,1,0,1,C,0
45,14,1,0,1,C,1
33,15,1,0,1,C,0
47,16,1,1,1,S,1
44,14,1,1,1,C,1
57,14,0,1,1,C,1
55,20,1,0,1,C,0
42,15,1,0,1,C,1
52,14,1,0,1,C,0
70,16,1,0,1,C,0
35,16,1,0,1,C,1
37,16,1,0,1,C,0
39,15,1,0,1,C,1
51,21,0,0,1,C,0
45,15,1,0,1,S,1
67,20,1,1,1,C,0
49,14,0,0,1,C,0
51,14,1,1,1,C,1
72,20,1,0,1,C,0
