age,seniority,men,urban,private,marital_M,marital_O,marital_S,yord
63,30,1,0,1,1,0,0,0
58,26,1,0,1,1,0,0,1
65,25,1,0,1,1,0,0,2
52,22,0,1,1,0,0,1,1
48,20,1,0,1,1,0,0,1
74,22,1,0,1,1,0,0,0
71,20,1,0,1,1,0,0,0
59,20,1,0,1,1,0,0,0
56,20,1,0,1,1,0,0,1
57,24,1,1,1,1,0,0,2
47,19,1,0,1,1,0,0,0
37,19,1,0,1,1,0,0,0
51,19,1,1,1,1,0,0,1
52,21,1,1,1,1,0,0,0
53,19,1,1,1,1,0,0,1
63,19,1,1,1,1,0,0,1
56,19,1,0,1,1,0,0,0
67,22,1,1,1,1,0,0,0
53,19,0,1,1,1,0,0,0
70,19,1,0,1,1,0,0,2
50,19,0,1,1,0,0,1,2
49,18,1,0,1,1,0,0,1
52,21,1,0,1,1,0,0,2
40,18,1,0,1,1,0,0,0
47,17,1,1,1,1,0,0,1
59,23,1,0,1,1,0,0,0
51,17,1,1,1,1,0,0,0
53,21,0,1,1,1,0,0,2
42,20,1,1,1,1,0,0,0
58,23,1,0,1,0,0,0,2
59,17,1,0,1,1,0,0,1
67,17,1,1,1,1,0,0,2
43,19,1,0,1,1,0,0,0
68,16,1,1,1,1,0,0,0
59,19,1,0,1,1,0,0,0
58,22,1,0,1,1,0,0,2
56,17,1,0,1,0,1,0,2
52,16,0,1,1,0,0,1,2
41,16,1,0,1,1,0,0,1
56,21,1,0,1,1,0,0,2
61,16,1,0,1,1,0,0,1
67,16,1,0,1,1,0,0,0
52,16,1,0,1,1,0,0,1
68,18,0,0,1,0,0,1,2
43,18,1,0,1,0,1,0,2
61,16,1,1,1,1,0,0,0
69,15,1,0,1,1,0,0,0
55,32,1,0,1,1,0,0,1
70,23,1,0,1,1,0,0,0
44,25,1,0,1,1,0,0,0
54,15,1,0,1,1,0,0,1
37,15,0,0,1,1,0,0,0
57,15,1,0,1,1,0,0,2
63,27,1,0,1,1,0,0,1
58,17,1,0,1,1,0,0,0
51,15,1,0,1,0,1,0,0
64,15,1,0,1,1,0,0,0
43,15,1,0,1,1,0,0,0
49,21,1,0,1,0,0,1,0
39,16,1,0,1,1,0,0,2
41,16,1,0,1,1,0,0,0
53,14,0,1,1,1,0,0,2
85,17,1,1,1,1,0,0,1
52,14,1,1,1,1,0,0,1
37,14,1,0,1,1,0,0,0
65,18,1,1,1,0,0,0,0
51,14,0,0,1,1,0,0,2
55,15,0,0,1,1,0,0,0
66,14,1,0,1,1,0,0,0
60,14,1,0,1,1,0,0,0
73,15,1,0,1,1,0,0,1
58,15,1,0,1,1,0,0,1
71,23,1,0,1,1,0,0,0
45,15,1,0,1,0,0,1,0
49,22,1,0,1,1,0,0,2
68,20,1,1,1,1,0,0,2
49,20,0,0,1,1,0,0,0
37,32,1,0,1,0,0,1,2
47,20,1,1,1,1,0,0,0
56,20,1,1,1,1,0,0,1
36,14,0,0,1,1,0,0,1
43,14,0,1,1,1,0,0,0
42,14,1,1,1,1,0,0,0
53,21,1,0,1,1,0,0,0
